Date,Decision
20221121,
20221122,
20221123,True
20221124,
20221125,
20221128,False
20221129,
20221130,
20221201,
20221202,False
20221205,
20221206,
20221207,True
20221208,
20221209,
20221212,
20221213,True
20221214,
20221215,
20221216,False
20221219,
20221220,
20221221,True
20221222,
20221223,
20221226,True
20221227,
20221228,
20221229,
20230102,True
20230103,
20230104,
20230105,False
20230106,
20230109,
20230110,False
20230111,
20230112,
20230113,False
20230116,
20230117,
20230118,
20230119,False
20230120,
20230125,
20230126,
20230127,
20230130,
20230131,False
20230201,
20230202,
20230203,True
20230206,
20230207,
20230208,
20230209,False
20230210,
20230213,
20230214,
20230215,True
20230216,
20230217,
20230220,True
20230221,
20230222,
20230223,True
20230224,
20230227,
20230228,
20230302,False
20230303,
20230306,
20230307,False
20230308,
20230309,
20230310,False
20230313,
20230314,
20230315,True
20230316,
20230317,
20230320,
20230321,True
20230322,
20230323,
20230324,True
20230327,
20230328,
20230329,True
20230330,
20230331,
20230403,True
20230404,
20230405,
20230406,
20230407,True
20230410,
20230411,
20230412,False
20230413,
20230414,
20230417,False
20230418,
20230419,
20230420,
20230421,True
20230424,
20230425,
20230426,False
20230427,
20230428,
20230502,False
20230503,
20230504,
20230508,True
20230509,
20230510,
20230511,
20230512,
20230515,
20230516,True
20230517,
20230518,
20230519,False
20230522,
20230523,
20230524,False
20230525,
20230526,
20230530,
20230531,True
20230601,
20230602,
20230605,
20230607,True
20230608,
20230609,
20230612,False
20230613,
20230614,
20230615,
20230616,True
20230619,
20230620,
20230621,False
20230622,
20230623,
20230626,False
20230627,
20230628,
20230629,
20230630,True
20230703,
20230704,
20230705,False
20230706,
20230707,
20230710,
20230711,
20230712,False
20230713,
20230714,
20230717,False
20230718,
20230719,
20230720,False
20230721,
20230724,
20230725,True
20230726,
20230727,
20230728,
20230731,True
20230801,
20230802,
20230803,True
20230804,
20230807,
20230808,
20230809,True
20230810,
20230811,
20230814,False
20230816,
20230817,
20230818,
20230821,True
20230822,
20230823,
20230824,
20230825,False
20230828,
20230829,
20230830,True
20230831,
20230901,
20230904,
20230905,
20230906,True
20230907,
20230908,
20230911,False
20230912,
20230913,
20230914,True
20230915,
20230918,
20230919,
20230920,True
20230921,
20230922,
20230925,False
20230926,
20230927,
20231004,False
20231005,
20231006,
20231010,False
20231011,
20231012,
20231013,False
20231016,
20231017,
20231018,False
20231019,
20231020,
20231023,
20231024,True
20231025,
20231026,
20231027,True
20231030,
20231031,
20231101,False
20231102,
20231103,
20231106,True
20231107,
20231108,
20231109,
20231110,
20231113,True
20231114,
20231115,
20231116,False
20231117,
20231120,
